consolidated_symptom,umls,regex,entities
stress,psychological stress,psychological ((damage|stress)|traumas?),psychological damage|psychological stress|psychological trauma|psychological traumas
stress,stress,(#stress|stress( (- dreams|d(isorder|reams))|(es|s)?)),stress - dreams|stress dreams|stresses|stress|stress disorder|stresss|#stress
stridor,agonal respiration,agonal (breathing|respiration),agonal respiration|agonal breathing
stuttering,stuttering,#?stuttering,#stuttering|stuttering
suffering,suffering,(body is (massively )?suffering|distress|pain (/|and|or) suffering|suffering|“ distress),pain or suffering|pain and suffering|distress|body is massively suffering|body is suffering|“ distress|suffering|pain / suffering
suicidal,feeling suicidal,(feeling suicidal|suicidal (ideations?|th(inking|ought)s?)),suicidal ideations|suicidal thought|suicidal thoughts|suicidal ideation|suicidal thinking|feeling suicidal
suicidal,suicidal,suicidal,suicidal
sweating,clammy skin,clammy skin,clammy skin
sweating,excessive sweating,(excessive sweating|hyperhidrosis|profuse sweating),hyperhidrosis|profuse sweating|excessive sweating
sweating,sweating,(#sweating|hands (are (literally )?sweating|(is |were )?sweating)|perspiration|sweating?( sickness)?),hands were sweating|#sweating|hands is sweating|hands are sweating|sweating|perspiration|sweatin|sweating sickness|hands sweating|hands are literally sweating
swelling,dental swelling,dental (abscesses|swelling),dental abscesses|dental swelling
swelling,facial swelling,(fac(e( (all (puffy|swollen)|being swollen|h(as been sw(elling|ollen)|is swollen)|is (all (puffy|swollen)|(even swollen|puffy|really swollen)|s(o (puffy|swollen)|uper swollen|w(elling|ollen)))|look(ed (really )?swollen|ing swollen|s (quite )?swollen)|puffy|s(o (puffy|swollen)|uper swollen|w(elling|ollen))|w(as (all (puffy|swollen)|puffy|s(o (puffy|swollen)|w(elling|ollen))|very swollen)|ere swollen))|s (are |were terribly )?swollen)|ial swelling)|sw(elling (in (face|h(er|is) face|(my|the|your) face)|of ((his |my )?face|the(ir)? face|your face))|ollen (( bruised ? ) cheek|cheek|face)s?)),face was swollen|swelling in the face|swelling of your face|swollen ( bruised ? ) cheek|face swollen|face so puffy|face has been swelling|swelling in your face|swelling of his face|swelling in face|swollen cheek|face was very swollen|swelling of face|swollen cheeks|face were swollen|swelling in my face|swollen face|face is so swollen|face was puffy|face super swollen|face all puffy|face was all swollen|swelling of the face|face is even swollen|swelling of their face|face is all puffy|face is swollen|face looked swollen|swelling in his face|face was all puffy|face is swelling|face puffy|faces were terribly swollen|face his swollen|face was swelling|face was so swollen|swelling in her face|face looked really swollen|face was so puffy|face looks quite swollen|face so swollen|swollen faces|face is really swollen|face is all swollen|face being swollen|swelling of my face|facial swelling|face looking swollen|faces are swollen|faces swollen|face is so puffy|face swelling|face is super swollen|face all swollen|face has been swollen|face is puffy|face looks swollen
swelling,intracranial swelling,(brain ((( if you have one ) swell|:brain: swells)|is (likely )?swollen|s(o swollen|w(ell|ollen)s?)|was s(o s)?wollen)|intracranial swelling|sw(elling (in (brain|h(er|is) brain|(is|my|the) brain)|o(f (her |the )?brain|n (brain|h(er|is) brain|(my|the) brain)))|ollen brain)),swelling in the brain|swelling in brain|brain so swollen|swelling in my brain|brain swell|swelling on her brain|swelling in her brain|swelling in his brain|swelling of her brain|swelling on his brain|brain swollen|brain is swollen|swelling on the brain|brain was swollen|swelling of brain|swelling of the brain|swelling on brain|brain swells|swollen brain|brain ( if you have one ) swell|swelling in is brain|brain :brain: swells|brain was so swollen|intracranial swelling|swelling on my brain|brain is likely swollen
swelling,localized swelling,(injection site (is ((all|hella|quite|really) swollen|s(o s)?wollen|very swollen)|(was )?swollen)|localized swelling|sw(elling a(round|t) (the )?injection site|ollen injection site)),injection site is so swollen|injection site is very swollen|injection site was swollen|injection site is all swollen|injection site is quite swollen|injection site is really swollen|swelling around the injection site|swelling around injection site|swelling at the injection site|injection site is hella swollen|swelling at injection site|localized swelling|injection site is swollen|swollen injection site|injection site swollen
swelling,neck swelling,(neck ((are|being) swollen|is (all swollen|s(o s)?wollen)|sw(elling|ollen)|was (very )?swollen)|swollen neck),neck swelling|neck was very swollen|swollen neck|neck was swollen|neck are swollen|neck is so swollen|neck is swollen|neck is all swollen|neck swollen|neck being swollen
swelling,swelling,(b(alls (were going to )?swell(ed)?|ody (be swollen|(is )?s(o swollen|w(ell(ed|ing)|ollen))|was sw(elling|ollen)))|glands (a(ll swollen|re ((quite|really) swollen|s(o s|uper s)?wollen))|have been swollen|(r )?s(o s)?wollen|were swollen)|he(art ((-|is) swelling|swell(( up|ed|ing)|s( up)?)?|was swell(ing)?)|lla swollen)|organ (( heart is an organ ) )?swelling|painful swelling|sw(ell(ed up|ing( (in (body|h(er (body|heart)|is heart)|my (body|heart)|the( (body|heart)|ir heart)|your body)|of (h(eart|er (body|heart)|is heart)|my heart|the( (body|heart)|(ir)? heart)|your heart)))?)|ollen( (:red_heart:|glands|up))?)|“ sw(elling|ollen)),heart swell|swelling of his heart|body was swelling|swelling of your heart|swelled up|glands are quite swollen|glands have been swollen|glands all swollen|swelling in my body|balls were going to swell|swelling of my heart|heart was swelling|body swelled|body is swelling|glands are super swollen|body swelling|balls swell|swelling in her body|swelling in my heart|swollen :red_heart:|heart swell up|swollen|heart swelled|glands r so swollen|heart - swelling|body is so swollen|swelling in your body|heart swelling|organ ( heart is an organ ) swelling|swelling in his heart|heart is swelling|glands were swollen|heart swells up|body was swollen|body is swollen|hella swollen|balls swelled|swollen up|swollen glands|glands are really swollen|heart was swell|swelling in body|organ swelling|painful swelling|glands r swollen|swelling|swelling in the heart|swelling in her heart|glands are so swollen|glands are swollen|body is swelled|body be swollen|body swollen|swelling in the body|glands so swollen|“ swollen|glands swollen|swelling of their heart|“ swelling|swelling in their heart|body so swollen|swelling of heart|heart swells|swelling of the heart
swelling,swelling of head,(head (is s(o swollen|w(elling|ollen))|(was )?sw(elling|ollen))|sw(elling of head|ollen (- heade|hea)d)),head was swelling|swollen head|swelling of head|head swollen|head is so swollen|head was swollen|head is swelling|head is swollen|swollen - headed|head swelling
swelling,swelling of scrotum,s(crotal swelling|welling of scrotum),swelling of scrotum|scrotal swelling
swelling,swelling of testicle,(enlarged testicles?|sw(elling of testicle|ollen (- testicles|testicles?|“ testicles))|testic(le( ((- swelling|became swollen)|got (horribly )?swollen|is swollen|sw(ell( up|ed( up)?|(ing)?)|ollen)|to swell|w(as|ere) swollen)|s (- swell - up|a(ll swollen|re (going to swell|s(o swollen|w(elling|ollen))))|be( swollen|came (massively )?swollen|ing swollen)|g(et(ting)? swollen|ot s(o s|uper s)?wollen)|have been swelling|s(o swollen|w(ell( up|ed( up)?|(ing)?)|ollen))|to swell|were (sw(ell|ollen)|very swollen)))|ular swelling)),testicle swell|testicle became swollen|testicles became swollen|testicle swelled up|testicle got horribly swollen|testicles were very swollen|swollen “ testicles|testicles swollen|testicles swelled up|testicle were swollen|testicles get swollen|testicles became massively swollen|testicles are so swollen|testicles are going to swell|testicles swelling|testicles got so swollen|testicle swelled|testicles were swollen|enlarged testicles|testicle got swollen|swollen testicle|testicle is swollen|testicles - swell - up|testicles swell|enlarged testicle|testicles be swollen|testicle to swell|swollen testicles|testicle - swelling|testicles have been swelling|testicle swollen|testicles swelled|testicles were swell|testicles to swell|testicles being swollen|testicles got super swollen|testicles are swelling|testicles all swollen|testicle swelling|testicles are swollen|testicles got swollen|swelling of testicle|testicles so swollen|testicles swell up|testicular swelling|swollen - testicles|testicle swell up|testicles getting swollen|testicle was swollen
syncope,collapse,(body( (be(en)? shutting down|has been shutting down|is (literally shutting down|s(hut(ting)? down|(tarting t)?o shut down))|literally shut(ting)? down|really shut down|s(hut( (- )?down|ting down)|tart(ed|ing|s)? to shut down)|to shut down|was ((being shut|literally shutting) down|shut(ting)? down))|s shutting down)|collapse),body is starting to shut down|body is shut down|body shutting down|body was shutting down|body has been shutting down|body been shutting down|body starting to shut down|body was being shut down|body is shutting down|body start to shut down|body was literally shutting down|bodys shutting down|body was shut down|body starts to shut down|body shut - down|body is literally shutting down|body be shutting down|body is so shut down|body to shut down|body literally shutting down|body shut down|collapse|body really shut down|body literally shut down|body started to shut down
syncope,heat syncope,heat( s(trok|yncop)es?|strokes?),heat stroke|heat strokes|heat syncope|heatstroke|heatstrokes
syncope,syncope,(faintings?|syncop(al episod)?es?),syncopal episodes|fainting|syncope|faintings|syncopal episode
syncope,vasovagal syncope,vasovagal syncope,vasovagal syncope
tachypnea,tachypnea,tachypne(a|ic),tachypneic|tachypnea
tenderness,scalp tenderness,scalp (pain|tenderness),scalp tenderness|scalp pain
tenderness,tender lymph node,(lymph node( pain|s hurt)|sore lymph nodes|tender lymph nodes?),sore lymph nodes|lymph node pain|lymph nodes hurt|tender lymph nodes|tender lymph node
tenderness,tenderness of knee joint,t(enderness of knee joint|wisted (my )?knee),twisted knee|twisted my knee|tenderness of knee joint
tenderness,tenderness of tendon,t(enderness of|orn) tendons?,tenderness of tendon|torn tendon|torn tendons
tetany,tetany,(arm (been |is |was )?twitching|tetany),arm been twitching|arm is twitching|arm was twitching|tetany|arm twitching
thick skin,thick skin,thick skin,thick skin
thigh pain,thigh pain,thigh (p|str)ain,thigh strain|thigh pain
thin skin,thin skin,(hair (really )?thinned|(itching|thin) skin),hair thinned|thin skin|itching skin|hair really thinned
thirsty,increased thirst,(increased thirst|thirstier|unquenchable thirst),thirstier|increased thirst|unquenchable thirst
throat swelling,pharyngeal swelling,(pharyngeal swelling|sw(elling (in ((her|my) throat|th(e(ir)? throat|roat)|your throat)|of ((face and|his|my) throat|th(e(ir)? throat|e (face and )?throat|roat)|your face and throat))|ollen (glands in ((his|my) throat|th(e th)?roat|your throat)|throats?))|throat( ((- swelling|all swollen)|be(ing)? swollen|has been s(o swollen|w(elling up|ollen))|is ((all|hella|really) swollen|s(o s(o s)?wollen|uper swollen|w(elling|ollen)( up)?)|very swollen)|literally swell(ed|ing)|s((o|uper) swollen|w(ell( up|(ed|ing|s)( up)?)?|(elling up|ollen)))|very swollen|w(as ((all|really) swollen|s((o|uper) swollen|w(ell(ing)?( up)?|ollen)))|ere all swollen))|s (are swollen|s(o swollen|w(ell|ollen))))),throat is all swollen|throat very swollen|throat swells up|throat was swelling up|throat were all swollen|throat swelling|swollen glands in throat|throat super swollen|swelling of your face and throat|swelling in your throat|throat has been swelling up|throat is super swollen|throat was really swollen|throat is swollen|throat is swelling up|swelling in her throat|swollen glands in his throat|throat is hella swollen|throat was super swollen|swelling of the throat|throat was swollen|pharyngeal swelling|swelling in the throat|throat literally swelled|swollen throats|throat swell|throat literally swelling|swelling of the face and throat|throat swelled up|throat swelled|throat all swollen|swelling in their throat|swollen glands in your throat|throat being swollen|throat swollen|swelling of my throat|swelling in throat|throat is swelling|throat swells|throat - swelling|throat is very swollen|throats swollen|swelling of face and throat|throat was swell|throat be swollen|throat has been swollen|swollen throat|throat has been so swollen|throat swelling up|throat was swelling|throat swell up|swollen glands in the throat|throat is so swollen|swelling of throat|swelling of his throat|throat was so swollen|throats so swollen|swollen glands in my throat|throat so swollen|throat is really swollen|swelling in my throat|throat is so so swollen|throats are swollen|throats swell|throat was all swollen
throat symptom,throat symptom,"(blood in (my |your )?throat|covid throats?|dry (- )?ass throat|froggy throats?|hurt( (my throat|th(eir th)?roat|your throat)|s (my throat|th(e th|eir th)?roat|your throat))|issue( with (h(er|is) throat|my throat|th(eir th)?roat|throat)|s with (h(er|is) throat|(my )?throat))|messed up (my )?throat|problem( with (h(er|is) throat|my throat|th(eir th)?roat)|s with (my )?throat)|s(ensitive throat|o(ar(ed)? throats?|re (- (ish throat|throated)|/ (dry|swollen) throats?|and swollen throat|dry throats?|(itchy|or swollen|swollen) throat|throat(ed|s|y))|ur throats?)|t(omach flu symptoms|rept? throat))|t(hroat( (' s (been ((hurting|really sore)|s(uper s)?ore|so( so)?re)|hurting|so( so)?re)|- ((hurts|punch)|ti(ck|ng)le)|(. hurts|/ chest infection)|? (hurt|raw)|a( (bit (dry|s(cratchy|ore))|dry|li(l sore|ttle (itchy|sore))|scratchy)|ctually (hurt|really hurts)s?|ffected|l(l (hurt|messed up)|so hurts?|ways (hurt|sore)s?)|ll hurt|re ((bad|hurting|on fire|raw)|s(o sensitive|tarting to hurt)))|b(ad|e( ("" a little itchy|getting (dr|scratch)y|hurt(in)?g?|(kinda sore|raw))|en (h(ella fucking sore|urt(in)?g?)|(kinda sore|on fire|soar|tingling))|ing ((a bit dry|clogged|even kinda sore|mildly sore|on fire|raw)|s(ensitive|lightly sore|oar)|too sore))|een ((a bit sore|bad|hurting)|ki(lling|nda sore)|messed up|s(oar|tarting to hurt)|tickling)|leed(ing|s(oar|tarting to hurt)?)|othering)|clogged|d(i(ckl(es?|(ing|y))|dn( ' |’)t hurt|ngl(e|ing)s?|s(comfort|orders))|o( ((bad|fucking sore|he hurting|red)|s(ensitive|o(ar|re)))|( hurt|ar)|esn( ' |’)t hurt|(n’t hurt|o sore))|ry and sore)|e(ven (hurt|start itch)ing|xtremely sore)|fe(el( a little|ing|s a little) sore|lt ((dry|really sore)|s(o( dry|re)|uper dry)|very dry))|g(et( (dry|s(cratchy|o( dry|re)|uper dry))|s ((hella |really )?dry|s(cratchy|o( (dry|sore)|( dry|re))|uper dry))|ting (dry|s(cratchy|o( (dry|sore)|( dry|re))|(ore|uper dry))))|ot ((all scratch|dr|hella dr)y|really (dry|s(cratchy|ore))|s(cratchy|o( (dry|sore)|re)|uper (dry|sore))|very sore))|h(a(d (been hurting|hurt)|s (been (a( (bit sore|li(l|ttle) sore)|ffected)|bothering|d(estroyed|ry and sore)|extremely sore|feeling (quite )?sore|hurting|ki(lling|nda sore)|(messed up|on fire|pretty sore)|r(aw|eally fucking sore)|s(lightly sore|o( (bad|hurts|sensitive)|(ar|oooo sore))|(tarting to hurt)?)|tickly)|hurts?)|ve been hurting)|(ella hurts|is hurting)|urt(ed|ing?|s?))|is( (("" a bit dry|:sparkles: hurting)|a( (bit (dry|s(cratchy|ore))|li(l sore|ttle (itchy|sore)))|ffected|l(l (messed up|r(aw|ed))|ways (really )?sore))|b(ad|een hurting|leeding|othering)|bit (dry|s(cratchy|ore))|clogged|d(estroyed|ry and sore)|(dry|extremely sore)|feeling so( so)?re|g(etting (dry|s(cratchy|ore)|very sore)|oing to hurt)|hurt(ing?(ggggg)?|s?)|just ((dry|itchy|really sore)|s(cratchy|o( itchy|re)|uper (dry|sore)))|ki(lling|nda sore)|li(l sore|ttle (itchy|sore))|literally (bleeding|on fire|starting to get sore)|m(essed up|ildly sore)|(on fi|pretty so)re|r(a(spy|w)|e(ally (bad|destroyed|fucking sore|hurting|messed up|red|starting to hurt)|d))|s((ensitiv|lightly sor)e|o( ((bad|dry and sore|extremely sore|fucking sore|hurt|messed up)|r(aw|ed)|s(ensitive|o(ar|re))|tickly)|ar|oo( sore|o( sore|oo(oooo)? sore)))|tarting to (get sore|hurt|itch)|uper (fucking sore|r(aw|ed)))|scratchy|t(i(ckl(ing|y)|ngling)|oo sore)|very ((affected|hurt|mildly sore)|r(aw|ed)|s((cratchy|ensitive)|(oar|ore)|o( itchy|re)|uper (dry|sore))?))|n( ' t sore|’t (really |very )?sore))|just ((be sore|dry)|hurt(ing|s)?|(itchy|really hurts|really sore)|s(cratchy|o( so)?re|tart(ed|s) hurting)|scratchy)|ki(ll(ed|ing|s)?|lling|nd( of hurts|a (hurts?|(really hurts|sore)))|nda (hurts|sore))|literally (always )?hurts|m(essed up|ildly sore)|o(n fire|r chest infection)|p(r(etty sore|oblem)s?|unch(e[ds])?)|r(a(d (been hurting|hurt)|s (been (a( (bit sore|li(l|ttle) sore)|ffected)|bothering|d(estroyed|ry and sore)|extremely sore|feeling (quite )?sore|hurting|ki(lling|nda sore)|(messed up|on fire|pretty sore)|r(aw|eally fucking sore)|s(lightly sore|o( (bad|hurts|sensitive)|(ar|oooo sore))|(tarting to hurt)?)|tickly)|hurts?)|(spy|ve been hurting|w))|e( ("" a little itchy|getting (dr|scratch)y|hurt(in)?g?|(kinda sore|raw))|ally (getting scratchy|hurt(in|s)?g?|(on fire|really hurts|soar|tickles))|d|en (h(ella fucking sore|urt(in)?g?)|(kinda sore|on fire|soar|tingling))|ing ((a bit dry|clogged|even kinda sore|mildly sore|on fire|raw)|s(ensitive|lightly sore|oar)|too sore))|ly (hurts|is red))|s(lightly sore|o( ((bad|fucking sore|he hurting|red)|s(ensitive|o(ar|re)))|ar)|oar|tart( ((bad|feeling sore|fucking sore|he hurting|itching|red)|s(ensitive|o(ar|re))|to (hurt|itch))| itching|ed ((feeling sore|itching)|to (get (very )?sore|get sore|hurts?|itch))|ing to (get sore|hurt|itch)|ing to hurt|s ((feeling sore|itching)|to (get sore|hurts?|itch)))|uper (hurts|raw|sensitive)|ymptoms?)|t(i(ckl(es?|(ing|y))|ngl(e|ing)s?)|o( hurt|o sore))|very (mildly sore|raw)|w(as( (a( (bit s(cratchy|ore)|li(l sore|ttle (itchy|sore)))|(ffected|lways sore))|b(ad|leeding|othering)|(clogged|dry and sore|extremely sore|feeling sore)|getting (dry|s(cratchy|ore)|very dry)|h(orribly raw|urting)|just ((really )?dry|s(cratchy|ore))|ki(lling|nda sore)|(literally on fi|mildly so|on fi)re|r(a(spy|w)|e(ally ba)?d)|s(lightly sore|o( ((bad|fucking sore|raw)|s(ensitive|o(ar|re)))|ar)|tarting to hurt)|t(erribly hurt|i(ckl(ing|y)|ngling)))|n( ' t (very )?sore|’t sore))|ill hurt)|’s (been ((hurting|really sore)|so( so)?re)|hurting|really (been hurting|sore)|so( so)?re|were hurting))|s (a( (bit (dry|s(cratchy|ore))|dry|li(l sore|ttle (itchy|sore))|scratchy)|ll hurt|re ((bad|raw)|s(o sensitive|tarting to hurt)))|b(een ((a bit sore|bad|hurting)|ki(lling|nda sore)|messed up|s(oar|tarting to hurt)|tickling)|othering)|(destroyed|felt dry)|get( (dr|scratch)y|ting (dry|s(cratchy|ore)))|hurt(ing|s)?|just (dry|really sore|scratchy)|ki(lling|nda (hurts|sore))|(on fire|problems)|re(ally (bad|hurting)|d)|s(oar|tart( itching|ing to hurt))|too sore|were (on fire|raw)))|ickl(e( ("" in (his |my |your )?throat|in (h(er|is) throat|my (my )?throat|our throats?|th(e( throat|ir throats?|y throat)|e throat|roat)|your (your )?throats?)|my throat|of (my throat|th(e th)?roat)|throats?)|s in ((my throat|our throats)|their throats?|your throat)|y (- )?throat)|ing (my throat|th(e th)?roat)|y throats?))|w(eird throat|rong with (his|my|your) throat))","throat kinda hurt|throat kinda really hurts|throat really on fire|throat is really red|throat is a little sore|throat was tickly|throat ' s been really sore|throat is very hurt|throat always hurts|throat has been messed up|throat is bad|throat is pretty sore|throats start itching|throat just itchy|throat getting sore|throats killing|throat is kinda sore|sore or swollen throat|throats too sore|throat doesn’t hurt|throat was raspy|throat even hurting|throat has been hurting|throat is just scratchy|dry - ass throat|throat ’s been hurting|throat is bothering|throat tingling|throat is always sore|throat has been affected|throat is all raw|tickle "" in throat|throat hurts|throat got so dry|throat just sore|throat ’s been so sore|throat didn’t hurt|throat is so extremely sore|throat being slightly sore|tickle in throat|throat rly hurts|throat ’s were hurting|throat even start itching|throat tingle|hurts your throat|throat bothering|throat is very raw|throat starting to get sore|hurt your throat|throat was so fucking sore|throat punches|tickling my throat|throat be getting dry|throat has been killing|throat mildly sore|throat isn’t really sore|throat has been slightly sore|throat problem|throat is so bad|issue with his throat|throat was bleeding|throat started to itch|throat isn’t sore|throat is feeling sore|throat just hurt|tickle of throat|blood in my throat|throat has been tickly|throat feeling sore|throat a little itchy|throats hurting|throat a bit scratchy|throat was hurting|throat wasn ' t sore|throat was really bad|throat being on fire|tickle in the throat|throat gets hella dry|throat ' s sore|throat bleeds|tickling the throat|tickle in your throats|throat to hurt|throat started feeling sore|throat gets sore|hurts throat|throat be kinda sore|throat don’t hurt|throat always sore|sore / dry throat|problems with throat|throat super hurts|throats are raw|throats are so sensitive|throat discomfort|tickle in they throat|throat actually hurts|throat is very mildly sore|throat is so dry and sore|throat getting dry|throat is killing|throat is just really sore|throat is just so itchy|throat is slightly sore|throat all messed up|throat got really sore|sore itchy throat|throat - hurts|wrong with your throat|throat just really hurts|throat be "" a little itchy|throat was so raw|sour throats|throat rly is red|throat was killing|throats bothering|throats get scratchy|throat - tingle|throat just starts hurting|throat or chest infection|throat punched|throat being a bit dry|throats been soar|throats were raw|stomach flu symptoms|throat got super sore|froggy throat|throat felt super dry|throat get super dry|throat starts to hurt|wrong with my throat|issues with her throat|sore / dry throats|throat is getting very sore|throat starts to itch|throats starting to hurt|throat is so messed up|throat is destroyed|throat got very sore|throat was bothering|throats been kinda sore|throat on fire|throat is starting to get sore|throat really tickles|throats a little itchy|throat is all messed up|throat be hurtin|throat is hurting|throats been hurting|throat actually hurt|throat hurting|throats been killing|throat been hurtin|throat got all scratchy|throat is very red|throat has been kinda sore|throat is all red|throats been messed up|throat is so hurt|throat a bit sore|throat is sooo sore|throat be raw|throat is tingling|throat very mildly sore|throat really hurt|throat raw|throat punch|throat is been hurting|throat is a lil sore|throat just scratchy|throat a bit dry|throat was always sore|throat is tickly|sore throats|throat is very affected|throat has been so bad|throat hurted|throat was on fire|throat started to get sore|throat was a little sore|throat was getting very dry|throat had been hurting|throat is red|tickly throat|throat isn ' t sore|throat is so fucking sore|tickle my throat|throat was a bit sore|throat is very sensitive|throat was slightly sore|strep throat|tickle throat|throat was getting dry|throat felt dry|throat been hurting|throat is really hurting|throat ' s been super sore|throat get sore|throat bleeding|throat was soar|tickles in our throats|throat was tingling|throat has hurt|throat is literally on fire|throat been tingling|throat got really dry|throat got hella dry|throat ? hurt|throat is super raw|throat have been hurting|throats felt dry|throat start feeling sore|throats been tickling|tickle in your your throat|throat really really hurts|throat has been really fucking sore|throats red|throat being even kinda sore|throats are bad|throat is clogged|throat been kinda sore|throat tingles|throat is a little itchy|throat felt sore|tickles in your throat|throats are starting to hurt|throats kinda sore|throat being sensitive|tickle of the throat|throat is a bit scratchy|throat raspy|throat too sore|tickle in my throat|throat got super dry|throat is a bit sore|throat been on fire|throat has been so hurts|throat been hella fucking sore|throat was extremely sore|throat symptom|throats get dry|throat so fucking sore|tickley throat|throat be hurting|throat slightly sore|throat was so bad|throat was feeling sore|throat clogged|covid throat|throat hurtin|problem with their throat|problem with his throat|throat so he hurting|sore dry throats|problem with my throat|throats getting dry|throat is :sparkles: hurting|throat is soooooooooo sore|throat just be sore|throat ' s been hurting|throat is really messed up|throat has been bothering|throat felt really sore|throat get scratchy|throat is mildly sore|tickling throat|throat hella hurts|throats problems|throat was bad|problems with my throat|tickles in my throat|throat was dry and sore|throats hurts|throats just scratchy|throat just so sore|throat just hurting|throats getting scratchy|throat was raw|throat has been raw|throat doesn ' t hurt|throat has been destroyed|throat has been feeling sore|hurts the throat|throat really getting scratchy|throats just dry|throat start itching|throat really hurts|throat also hurt|throat is a bit dry|throat was getting sore|problem with her throat|hurt my throat|throat gets super dry|throat starts to get sore|throat got really scratchy|sour throat|throats been starting to hurt|throat being clogged|throat killing|sore - throated|throat is really fucking sore|throat so soar|throat extremely sore|throat pretty sore|throat very raw|tickly throats|throats a bit sore|throat has been extremely sore|issue with throat|throat also hurts|throat has been dry and sore|messed up my throat|throat ’s sore|issue with her throat|throat / chest infection|issues with my throat|throat is hurt|tickle in their throat|throat was terribly hurt|sore throated|throat literally always hurts|throat been soar|throat didn ' t hurt|throat really soar|tickle "" in your throat|tickle of my throat|throat dry and sore|throat was just sore|throat got so sore|throat is hurts|throat be hurt|throats been bad|throat wasn’t sore|throat isn’t very sore|throat starting to itch|throat was tickling|throat all hurt|strept throat|throat get so dry|throat started to get very sore|throat kill|throat was starting to hurt|throat was just really dry|throat is so tickly|throat ’s really sore|throat is just dry|throat is so raw|throat a little sore|tickle in your throat|throat has been feeling quite sore|hurt their throat|throats destroyed|throat has been a lil sore|throat so bad|throat is getting sore|throats all hurt|blood in your throat|throat his hurting|throat symptoms|throats really bad|throat is soooo sore|throat tickling|throat was kinda sore|throat is soooooo sore|soar throats|throat ’s really been hurting|throat is affected|throat is just super dry|throat start to itch|throat has been on fire|throat - tickle|throats a lil sore|throats on fire|throat tickle|throat bad|throat was getting scratchy|messed up throat|throat being mildly sore|throat killed|throat is tickling|throat feel a little sore|tickle in our throats|throat wasn ' t very sore|throat felt so dry|throat is sensitive|throats just really sore|sore dry throat|throat is raw|throat was a lil sore|throats been a bit sore|throat gets so sore|throat being soar|tickles in their throat|throat ' s been sore|throat gets scratchy|throat is feeling so sore|soar throat|sore - ish throat|throats a bit dry|throat so sensitive|throat ' s so sore|throat - punch|throat always hurt|throat kind of hurts|throat ’s been sore|throat is really bad|tickle throats|throat kills|throat is hurtingggggg|hurts my throat|throat got sore|throat has been soar|throat being too sore|throat is literally starting to get sore|throat literally hurts|throat started itching|throat problems|throat is so sore|throat is just sore|throat kinda hurts|tickle in my my throat|throat be getting scratchy|throat super raw|throats were on fire|tickle in our throat|throat kinda sore|throat tickly|throat super sensitive|throat so sore|throat has been a little sore|throat is messed up|sore and swollen throat|throat was a little itchy|throat just dry|throat was clogged|throat ' s hurting|throat ’s been really sore|froggy throats|throat is getting scratchy|throat is hurtin|throat so red|throat was a bit scratchy|throat is always really sore|throat is raspy|throat is super red|throat is so soar|throat is starting to itch|throat is going to hurt|throat are on fire|throat being raw|throat is so sensitive|throat just hurts|throat starts itching|throat hurt|throat is literally bleeding|tickle in his throat|throat is bleeding|throat was red|throat was so sore|throat is "" a bit dry|throat starts to hurts|dry ass throat|throat is really starting to hurt|throat disorders|throat ’s so sore|throats getting sore|throat is just super sore|throat been hurt|throat was so soar|throat is so red|issue with my throat|throat was mildly sore|throat has been sooooo sore|throat started to hurt|issues with his throat|sore throaty|throat is soar|throat is on fire|throat is just itchy|soared throat|throat is extremely sore|throat has been pretty sore|throat has been starting to hurt|throat has been so sensitive|tickle in her throat|tickle "" in his throat|throat just started hurting|throat was affected|throat start to hurt|throat starting to hurt|throat a lil sore|throat affected|throats kinda hurts|tickle in their throats|throat was horribly raw|tickley - throat|throat was just dry|throats a bit scratchy|throat was so sensitive|throat got dry|throat was literally on fire|throats really hurting|throat gets dry|throat feels a little sore|covid throats|throat is starting to hurt|throat is too sore|throat is super fucking sore|sensitive throat|throat red|throat getting scratchy|tickle "" in my throat|throat is dry and sore|throat gets so dry|throat . hurts|throat felt very dry|blood in throat|throat has hurts|throat starts feeling sore|throat is getting dry|throat actually really hurts|tickles in their throats|throat gets really dry|throat is very soar|throat has been a bit sore|throat are hurting|throat ’s hurting|throats soar|hurt throat|throat is really destroyed|throat will hurt|sore swollen throat|throats a little sore|throat had hurt|throat soar|throat get dry|sore / swollen throat|throat ? raw|problem with throat|throat was just scratchy|throat messed up|throats hurt|wrong with his throat|throat tickles|throat got scratchy|weird throat"
throat tightness,constriction in throat,(constriction in throat|punch( in th(e th)?roat|ed in the throat)|something (is stuck in my throat|stuck in (her|my|your) throat|was stuck in my throat)|t(hroat feel( tight|s (s(o|uper) tight|tight))|ight( throats?|ness in (my throat|th(e th)?roat)))),constriction in throat|tightness in throat|punch in the throat|punch in throat|throat feels tight|tightness in the throat|throat feels so tight|punched in the throat|throat feel tight|something stuck in your throat|tight throat|throat feels super tight|something stuck in her throat|tight throats|something stuck in my throat|something is stuck in my throat|tightness in my throat|something was stuck in my throat
tinnitus,tinnitus,(#|intermittent |pulsatile )?tinnitus,#tinnitus|tinnitus|intermittent tinnitus|pulsatile tinnitus
tongue swelling,tongue swelling,(swollen tongues?|tongue (has been swollen|is (. . . swollen|s(o s|uper s)?wollen)|sw(ell(ed up|ing)|ollen)|was s(o s)?wollen)),tongue was so swollen|swollen tongue|tongue is super swollen|tongue is so swollen|swollen tongues|tongue is swollen|tongue was swollen|tongue has been swollen|tongue swelling|tongue swollen|tongue swelled up|tongue is . . . swollen
